country,x,y,language
Nigeria,-129,90,Yoruba
Ethiopia,303,95,Amharic
Egypt,169,319,Nobiin
Democratic Republic of the Congo,87,-58, Lingala
South Africa,96,-422,Zulu
Tanzania,239,-120,Kiswahili
Kenya,288,-27,Kiswahili
Algeria,-203,349,Tamazight
Uganda,210,-11,Luganda
Sudan,174,197
Morocco,-311,398
Ghana,-242,71,Akan
Mozambique,259,-269,Makhuwa
Ivory Coast,-303,74
Madagascar,404,-298,Malagasy
Angola,8,-205
Cameroon,-53,33,Fang
Niger,-102,193
Burkina Faso,-245,140
Mali,-261,215,Bambara
Malawi,233,-211,Chichewa
Zambia,154,-231
Senegal,-436,178,Wolof
Zimbabwe,176,-297
Chad,25,187
Guinea,-383,115,Fula
Tunisia,-97,418
Rwanda,181,-59,Kinyarwanda
South Sudan,186,64
Benin,-193,99
Somalia,410,35,Somali
Burundi,181,-80,Kurundi
Togo,-207,77,Ewe
Libya,-6,325
Sierra Leone,-383,82,Krio
Central African Republic,54,64,Sangho
Eritrea,291,184,Tigrinya
Republic of the Congo,-15,-45
Liberia,-351,52
Mauritania,-374,230,Hassaniya
Gabon,-69,-42,Fang
Namibia,1,-336,Oshiwambo
Botswana,97,-340,Setswana
Lesotho,159,-430,Sesotho
Equatorial Guinea,-80,-10
Gambia,-439,148
Guinea-Bissau,-420,130
Mauritius,470,-293
Eswatini,203,-393,Swazi
Djibouti,351,125,Somali
Reunion (France),454,-346
Comoros,362,-191,Comorian
Western Sahara,-412,297
Cape Verde,-472,189
Sao Tome and Principe,
Seychelles,460,-58
